"hello","నమస్కారం","नमस्ते"
"acting","నటించడం నటన","अभिनय"
"action","చర్య","कार्रवाई*"
"actionable","వ్యాజ్యము వేయదగిన","मुकदम करनेयोग्य"
"active","చురుకైన","सक्रिय"
"actively","చురుకుగా","सक्रियरूपसे"
"activist","కార్యకర్త","कार्यकर्ता"
"activity","చర్య","गतिविधि*"
"actor","నటుడు","अभिनेता"
"actress","నటీమణి","अभिनेत्री*"
"actual","నిజమైన","वास्तविक"
"actually, virtually","నిజంగా","वास्तवमें"
"acute, intense","తీవ్ర","तीव्र"
"ad hoc","తాత్కాలిక","तदर्थ"
"adaptability","సర్దుబాటుతనం","अनुकूलनशीलता*"
"adaptation","అనువర్తనం","अनुकूलन"
"add","చేర్చు","जोड़ना"
"add on","కూడిన మొత్తం","जोड़हुआ"
"added","జోడించిన","जोड़ाहुआ"
"addiction","వ్యసనం","लत*"
"address","చిరునామా","पता"
"addressee","చిరునామాదారు","पानेवाला"
"addresser","ప్రసంగించువాడు","निवेदक"
"adequacy","సరిపడినంత","अनुरूप होना*"
"adequate","తగినంత","पर्याप्त"
"adhesive","జిగురు","चिपकनेवाला"
"adjacent","సమీప","आसन्न"
"adjective","విశేషణం","विशेषण"
"adjourn","వాయిదా వేయు","स्थगित करना"
"adjournment","వాయిదా","स्धगन"
"adjudge","తీర్పు చేయు","फ़ैसला करना"
"adjudication","న్యాయ నిర్ణయం","न्यायनिर्णय"
"adjust","సర్దుబాటు చేసుకొను","अनुकूलितकरना"
"adjustment","సర్దుబాటు","अनुकूलन"
"administer","పరిపాలించు","प्रशासन करना"
"administered","పరిపాలించిన","प्रशासित"
"administration","పరిపాలన","प्रशासन"
"administrative","పాలనాసంబంధ","प्रशासनिक"
"administrator","పరిపాలకుడు","प्रशासक"
"admiration","ప్రశంస","प्रशंसा*"
"admissible","స్వీకరించదగ్గ","स्वीकार्य"
"admission","ప్రవేశం","प्रवेश"
"admit","చేరనిచ్చు","स्वीकारकरना"
"adolescence","కౌమారం","किशोरावस्था*"
"adolescent","కౌమార","किशोर"
"adopt","స్వీకరించు","अपनाना"
"adopted daughter","దత్తత కుమార్తె","दत्तककन्या*"
"adopted son","దత్తపుత్రుడు","दत्तकपुत्र"
"adoption","స్వీకరణ","गोद लेना*"
"adore","ఆరాధించు","आराधन*करना"
"adorn","అలంకరించు","सजाना"
"adult","వయోజనుడు","वयस्क"
"adult education","వయోజనవిద్య","प्रौढ़शिक्षा*"
"adult suffrage","వయోజన ఓటు హక్కు","वयस्क, मताधिकार"
"adulteration","కల్తీ","मिलावट*"
"advanced","ఆధునిక","उन्नत"
"advantage","ప్రయోజనం","लाभ"
"adventure","సాహసం","साहसिककार्य"
"adverb","క్రియావిశేషణం","क्रियाविशेषण"
"adversary","విరోధి","विरोधी"
"adverse","ప్రతికూల, విరుద్ధ","प्रतिकूल"
"adversity","ప్రతికూలత","प्रतिकूलता*"
"advertise","ప్రకటించు","विज्ञापित करना"
"advertisement","ప్రకటన","विज्ञापन"
"advertising","ప్రకటనచేయటం","विज्ञापन करना"
"advice","సలహా","सलाह*"
"advise","సలహా ఇచ్చు","सलाहदेना"
"adviser","సలహాదారు","सलाहकार"
"advisory","సలహా సం","सलाहकार"
"advocate, lawyer, counsel","న్యాయవాది","वकील"
"aerial","ఆకాశ సం","हवाई"
"aerodrome","విమానాశ్రయం","हवाईअड्डा"
"aeroplane","విమానం","हवाईजहाज"
"aesthetic","కళాసౌందర్యాత్మక","सौंदर्यात्मक"
"affair","వ్యవహారం","मामला"
"affect","ప్రభావితం","प्रभावित"
"affection","అభిమానం","स्नेहमान"
"affirmation","నిశ్చితపరచటం","अभिपुष्टि*करना"
"affix","మాటకు చేర్చు","प्रत्ययजोड़ना"
"afford","భరించు","वहनरकना"
"afraid","బెదిరిన","भयभीत"
"African","ఆఫ్రికన్","अफ़्रीकी"
"afternoon, noon","మధ్యాహ్నం","दोपहर*"
"afterward","తర్వాత","बादमें"
"again","మళ్ళీ, మరల","फिर"
"against","వ్యతిరేకంగా","केखिलाफ"
"age","వయసు","उम्र*"
"ageing","వయసు పెరగడం","उम्रबढ़ना*"
"agency","సంస్థ","एजेंसी*"
"agenda","విషయ పట్టిక","कार्यसूची*"
"aggression","ఆక్రమణ","आक्रमण"
"aggressive","దాడి చేయు","आक्रामक"
"aggrieve","దుఃఖపెట్టు, బాధించు","दुःखदेना"
"aggrieved","దుఃఖపడ్డ","पीड़ित"
"agile","లాఘవం గల","चुस्त"
"agitate","ఆందోళన చెందు","नीश्चंत"
"ago","కిందట","पहले"
"agreement","ఒప్పందం","समझौता"
"agricultural","వ్యవసాయ","कृषि*"
"ahead","ముందుగా","आगे, prior"
"aid, assistance","సహాయం","सहायता*"
"aide, assistant","సహాయకుడు","सहायक"
"AIDS","ఎయిడ్స్ వ్యాధి","एड्स"
"aim","గురి","लक्ष्य"
"air force","వైమానిక దళం","वायुसेना*"
"air navigation","ఆకాశయానం","हवाईयात्रा"
"air traffic","విమానరాకపోకలు","हवाईयातायात"
"air ways","వాయుమార్గాలు","वायुमार्ग"
"air wind","గాలి","हवा*"
"airline","వైమానిక సంస్థ","एयरलाइन*"
"aisle","మధ్యదారి","बीचकारास्ता"
"album","చిత్రాల పుస్తకం","एल्बम"
"alcohol liquor","మద్యం","शराब*"
"algebra","బీజగణితం","बीजगणित"
"alien","విదేశీయుడు","विदेशी"
"alienation","పరగతం","अन्यसंक्रामण"
"alike","ఒక్కలాగా","समान"
"alive","సజీవంగా ఉండు","जिंदा"
"all out","శక్తి మేర","भरसक"
"all right","అన్నీ సరియైన","सबठीकहै"
"all round","అన్ని వైపుల చుట్టూ","चारोंओर"
"all rounder","బహుళప్రజ్ఞాశాలి","बहुमुखीप्रतिभावान"
"all time","అన్ని కాలాల","सार्वकालिक"
"all together","అన్నీ కలిసి","कुलमिलाकर"
"allay","తొలగించు","दूर करना"
"allegation","ఆరోపణ","आरोप"
"allege","ఆరోపించు","आरोपलगाना"
"alleged","ఆరోపిత","आरोपित"
"allegedly","ఆరోపించినట్లుగా","कथिततौरपर"
"allegiance","విధేయత","निष्ठा*"
"alliance","సంబంధం","रिश्ता"
"allied , subsidiary","అనుబంధ","संबद्ध, सहायक"
"allocation, allotment","కేటాయింపు","आवंटन"
"Allopathy","ఇంగ్లీషు వైద్యం","एलोपैथी*"
"allot","కేటాయించు","आवंटितकरना"
"allow","అనుమతించు","अनुमति*देना"
"allowance","భత్యం","भत्ता"
"alloy","మిశ్రధాతువు","मिश्रधातु*"
"allusion","సందర్బ సూచన","संकेत"
"ally","సహాయుడు","मित्र"
"almighty","దేవుడు","सर्वशक्तिमान"
"almirah","అరమర","अलमारी*"
"almond","బాదం","बादाम"
"alms","దానధర్మాలు","धर्मदान, भीख"
"alone lonely","ఒంటరిగా","अकेला"
"along","వెంట","साथमें"
"alongside","కలిసి","साथसाथ"
"alphabet","వర్ణమాల, అక్షరమాల","वर्णमाला*"
"already","ఇప్పటికే","पहलेही"
"Also, too","కూడా","भी"
"alter","మార్చు","बदल"
"alteration change","మార్పు","परिवर्तन"
"alternate","ప్రత్యామ్నాయ","वैकल्पिक"
"alternative","ప్రత్యామ్నాయం","विकल्प"
"although","అయినప్పటికీ","हालांकि"
"altogether","మొత్తానికి","कुलमिलाकर"
"aluminium","అల్యూమినియం","एल्युमीनियम"
"always","ఎప్పుడూ","हमेशा"
"am","ఉన్నాను (నేను)","हूँ"
"amalgamation","సమ్మిశ్రమం, సమ్మేళనం","समामेलन"
"amazing","ఆశ్చర్య పరచు","अद्भुत"
"ambassador","రాయబారి","राजदूत"
"ambition","వాంఛ","महत्वाकांक्षा*"
"ambitious, hopeful","ఆశగల","आशावान"
"ambulance","వైద్యసహాయ వాహనం","एम्बुलेंस"
"amend","చక్కదిద్దు, సవరించు","संशोधन करना"
"amendment","సవరణ","संशोधन"
"American","అమెరికా దేశస్థుడు","अमेरिकन"
"amid","మధ్య","बीच, among, between"
"amnesty","క్షమాభిక్ష","क्षमादान"
"amount","మొత్తం","राशि*"
"amphibian","ఉభయచర జంతువు","उभयचर"
"ample","పుష్కల","पर्याप्त"
"amuse","సంతోషపెట్టు","मनोरंजन करना"
"anaemia","రక్తహీనత","रक्ताल्पता"
"analysis","విశ్లేషణ","विश्लेषण"
"analyst","విశ్లేషకుడు","विश्लेषक"
"analyze","విశ్లేషించు","विश्लेषणकरना"
"anatomy","శరీరనిర్మాణశాస్త్రం","शरीररचना विज्ञान"
"ancestor","పూర్వీకుడు","पूर्वज"
"ancestral","పూర్వీకుల","पैतृक"
"ancient","పురాతన","प्राचीन"
"and /or /","మరియు/ లేక","और/या"
"and","మరియు","और"
"angel","దేవదూత","फरिश्ता"
"anger","కోపం","क्रोध"
"angle","కోణము","कोण"
"angry","కోపంగా","नाराज"
"animation","సజీవత్వం","सजीवन"
"ankle","చీలమండ","टखना"
"annihilation","వినాశనం","विनाश"
"anniversary","వార్షికోత్సవం","वार्षिकोत्सव*"
"announce","చాటించు, ప్రకటించు","घोषणा*करना"
"annual statement","వార్షిక నివేదిక","वार्षिकविवरण"
"annual, yearly","వార్షిక","वार्षिक"
"annually","ప్రతి సంవత్సరం","प्रतिवर्ष"
"annuity","వార్షికం, వార్షిక భత్యం","वार्षिकी*"
"annulment","రద్దు","निष्प्रभावन"
"anomaly","వ్యత్యాసం","असंगति*"
"anonymous","పేరులేని","गुमनाम"
"answer","జవాబు","जवाब"
"ant","చీమ","चींटी*"
"ante","ముందరి, గత","पूर्व"
"anthem","ప్రార్థన గీతం","गान"
"anthill","చీమల పుట్ట","बांबी*"
"anti","నిరోధక వ్యతిరేక","विरोधी"
"anti aircraft gun","విమాన వ్యతిరేక తుపాకీ","विमानवेधीतोप"
"anticipate","ముందే ఊహించు","आशा*करना"
"anus","ముడ్డి","गुदा"
"anxiety","ఆత్రుత","चिंता*"
"anxious","ఆత్రుతతో కూడిన","चिंतित"
"any","ఏదైనా","कोई"
"any thing","ఏదైనా","कुछभी"
"anybody","ఎవరయినా","कोईनकोई"
"anyhow","ఏమైనప్పటికి","किसीभीतरह"
"anymore","ఇకపై","अबसेआगे"
"anyone","ఎవరైనా","कोईभी"
"anyway","ఏమైనప్పటికి","जोभीहो"
"anywhere","ఎక్కడైనా","कहींभी"
"apart","వేరుగా/ విడిగా","अलग"
"apartment","గదులసమూహం","अपार्टमेंट"
"ape","కోతి","वानर"
"apologize","క్షమాపణ చెప్పు","माफी*माँगना"
"apology","క్షమాపణ","माफी*"
"apparent explicit","స్పష్టమైన","स्पष्ट"
"apparently","స్పష్టంగా","स्पष्टरूपसे"
"appeal","విజ్ఞప్తి","विज्ञप्ति*"
"appear","కనిపించు","दिखाईदेना"
"appearance","ప్రదర్శన","दर्शन"
"appended","జోడించబడిన","संलग्न"
"appendix","అనుబంధం","परिशिष्ट"
"appetite hunger","ఆకలి","भूख*"
"apple","ఆపిల్ పండు","सेब"
"appliance","ఉపకరణం","उपकरण"
"apply","దరఖాస్తు చేయు","आवेदन करना"
"appoint","నియమించు","नियुक्तकरना"
"appointment","నియామకం","नियुक्ति*"
"appreciate","మెచ్చుకొను","सराहना"
"appreciation","మెచ్చుకోలు","प्रशंसा*"
"apprehension","దిగులు","शंका*"
"apprentice","పని నేర్చుకొను వ్యక్తి","शिक्षु"
"approach","విధానం","दृष्टिकोण"
"appropriation","వినియోగం","विनियोग"
"appropriation bill","వినియోగ బిల్లు","विनियोजनबिल"
"approximately","సుమారుగా","लगभग"
"apt","ఉచితమైన, తగిన","उचित"
"aptitude","అభిరుచి","रुचाना, रुचि"
"Arab","అరబ్బీ","अरब"
"arbitration","మధ్యవర్తిత్వం","मध्यस्थता*"
"arbitrator","మధ్యవర్తి","मध्यस्थ"
"arc","వర్తులభాగం","चाप"
"arch","విలువంపు","महराबचाप"
"archaeology","పురాతత్వ శాస్త్రం","पुरातत्त्व"
"architect","వాస్తు శిల్పి","वास्तुकार"
"architecture","నిర్మాణ శాస్త్రం","स्थापत्य"
"are","ఉన్నారు","हैं"
"area","ప్రదేశం","क्षेत्र"
"arena","కార్యక్షేత్రం","अखाड़ा"
"argue","తర్కించు, వాదించు","बहस*करना"
"arise","లేచు","उठना"
"armaments","యుద్ధబలం","युद्धसामाग्री*"
"armed","చేతులుగల","हाथोंसेयुक्त"
"armed force","సాయుధ దళాలు","सशस्त्रसेना*"
"armour","రక్షక కవచం","कवच"
"armpit","చంక","कांख*बगल*"
"army troop","సైన్యం","सेना*"
"armytroops","సైన్యం, దళాలు","सैन्यदल"
"around","చుట్టూ","चारोंओर"
"arrange","ఏర్పాటు చేయు","व्यवस्था*करना"
"arrangement","ఏర్పాటు","व्यवस्था*"
"arrest","నిర్బంధించు","गिरफ्तार करना"
"arrival","రాక","आगमन"
"arrive","చేరు","पहुंचनाआना"
"arrogant","అహంభావి అయిన","अहंकारी"
"arrow","బాణం","तीर"
"art","కళ","कला*"
"art centre","కళా కేంద్రం","कलाकेंद्र"
"artefact","కళాకృతి","कलाकृति*"
"artery","ధమని","धमनी*"
"article","వ్యాసం","लेख"
"articulate","ఉచ్చరించు","उच्चारण करना, भाषाप्रयोगप्रवाही"
"artificial","కృత్రిమమైన","कृत्रिम"
"artisan","శిల్పకారుడు","कारीगर"
"artist","కళాకారుడు","कलाकार"
"artistic","కళాత్మకమైన","कलात्मक"
"as","గా, వలె","रूपमेंजिस् प्रकार"
"ascent","ఆరోహణం","चढ़ाई*"
"ascertain","రూఢిపరచు","निख्चतरूपसेजानना"
"ashes ash","చితాభస్మం, బూడిద","राख*"
"Asian","ఆసియా వాసి","एशियाई"
"aside","ఒక ప్రక్కన","एकतरफ"
"asleep","నిద్రపోతున్న","सोताहुआ"
"aspirant","అపేక్షితుడు","अपेक्षितव्यक्ति"
"aspiration","అభిలాష","आकांक्षा*"
"aspire","కోరు","आकांक्षा*करना"
"ass donkey","గాడిద","गधा"
"assail","పైబడు, దాడిచేయు","आक्रमणकरना"
"assault","దాడి","हमला"
"assemble","సమావేశపరచు","एकत्र करना"
"assembly","సభ","सभा*"
"assent","సమ్మతి","स्वीकृति*"
"assert","చెప్పు","बलपूर्वककहना"
"assertion","గట్టిగా చెప్పేమాట","ध्रुढकथन"
"assessment, valuation","మదింపు","मूल्यांकन"
"assets","ఆస్తులు","संपत्ति*"
"assign","ప్రత్యేకించు","निश्चित करना"
"assignment","అప్పగించిన పని","नियतकार्य"
"assimilation","సమీకరణం","समीकरण"
"assist","సహాయం చేయు","सहायता* करना"
"assistant","సహాయకుడు","सहायक"
"associate","సంబంధం కూర్చు","निरपेक्ष"
"associated","సంబంధం గల","संबद्ध"
"assume","భావించు","मानना"
"assumption","ఊహ","कल्पना*"
"assure","హామీ ఇచ్చు","विश्वासदिलाना"
"asthma","ఉబ్బసం","दमा"
"astrology","జ్యోతిష్యం","ज्योतिष"
"astronomer","నక్షత్ర శాస్త్రజ్ఞడు","खगोलशास्त्री"
"Astronomy","ఖగోళశాస్త్రం","खगोलशास्त्रविज्ञान"
"at","వద్ద","पर, केपास"
"athlete, sportsman, player","క్రీడాకారుడు","खिलाड़ी"
"athletic","క్రీడా సంబంధ","व्यायामशील"
"atlas","పటాల పుస్తకం","एटलस"
"atrocious","దారుణమైన","नृशंस"
"attachment","అనుబంధం","अनुलग्नक"
"attack","పైబడు","हमलाकरना"
"attempt","ప్రయత్నం","प्रयास"
"attend","హాజరగు","उपस्थित होना"
"attendance, appearance","హాజరు","उपस्थिति*"
"attention","శ్రద్ధ","ध्यान"
"attest","ధృవీకరించు","प्रमाणितकरना"
"attitude","వైఖరి","दृष्टिकोण"
"attorney","న్యాయసలహాదారు","महान्यायवादी"
"attract","ఆకర్షించు","आकर्षित करना"
"attraction","ఆకర్షణ","आकर्षण"
"attractive","ఆకర్షణీయ","आकर्षक, चुंबलीय"
"attribute","గుణం","विशेषता*"
"auction","వేలం","नीलामी*"
"auctioneer","వేలం వేసేవాడు","नीलामकर्ता"
"audible","వినగల","श्रव्य"
"audience","శ్రోతలు","दर्शक"
"audio","ధ్వని","श्रव्य"
"audit","లెక్కలు తనిఖీ చేయు","लेखापरीक्षा*"
"aunt","అత్త పిన్ని","चाची"
"auspicious","శుభప్రదమైన","शुभ"
"authentic","నిజమైన","प्रामाणिक"
"authentication","ప్రమాణీకరణ","प्रमाणीकरण"
"author writer","రచయిత","लेखक"
"authority","అధికారం","अधिकार"
"authorize","అధికారమిచ్చు","अधिकृत"
"autobiography","స్వీయచరిత్ర","आत्मकथा*"
"automatic","స్వయంచాలక","स्वचालित, स्वतः"
"automobile","స్వయంచాలక వాహనం","स्वचालितवाहन"
"autonomous","స్వయంప్రతిపత్తి గల","स्वायत्त"
"autonomy","స్వయం ప్రతిపత్తి","स्वायत्तता*"
"Autumn","ఆకురాలుకాలం","शरदऋतु"
"auxiliary","సహయక","सहायक"
"auxiliary verb","సహాయకక్రియ","सहायकक्रिया*"
"avail","ఉపయోగించు","उपयोगकरना"
"average","సరాసరి సగటు","औसत"
"aversion","అయిష్టత","घृणा*"
"avoid","తప్పించుకొను","बचना"
"await","ఎదురుచూచు","इंतजारकरना"
"awake","మేల్కొలుపు","जगाना"
"award","బహూకరించు","पुरस्कारदेना"
"aware","తెలిసిన","जागरूक"
"awareness","అప్రమత్తజ్ఞానం","जागरूकता*"
"awful","భయంకర","भयंकर"
"awhile","కొంచెం సేపు","थोड़ीदेर"
"axe","గొడ్డలి","कुल्हाड़ी*"
"axle","ఇరుసు","धुरी*"
"baby","పాప","बच्चा"
"baby food","శిశు ఆహారం","शिशुआहार"
"baby wear","బిడ్డలదుస్తులు","बच्चेंकेवस्त्र"
"babyhood","శిశు దశ","शैशव"
"babyish","బాలల వంటి","बालोचित"
"bacilli","కర్ర ఆకార సూక్ష్మజీవి","दंडाणु"
"bacillus","దండాకారసూక్ష్మజీవులు","दण्डाणु"
"back","వీపు","पीठ*"
"back biting","వెన్నుపోటు","पीछेसेमारना"
"backbone","వెన్నెముక","रीढ़*"
"backdoor","దొడ్డి దారి","गुप्तद्वार"
"background","నేపథ్యం","पृष्ठभूमि*"
"backside","వెనకవైపు","पीछेकी तरफ*"
"backup","అవసరానికి నిల్వ","बैकअप"
"backward","వెనక్కు","पीछे"
"backwardness","వెనకబాటు","पिछड़ापन"
"backyard","పెరడు","पिछवाड़ा"
"bacteria","సూక్ష్మ జీవులు","जीवाणु"
"bactericide","సూక్ష్మజీవనాశని","जीवाणुनाशक"
"bacteriology","జీవాణువిజ్ఞానం","जीवाणुविज्ञान"
"badge","గుర్తు పట్టీ","बिल्ला"
"badly","చెడ్డగా","बुरीतरह"
"bag","సంచి","थैला"
"baggage","సామాను","सामान"
"baggy","వదులుగాఉన్న","ढीलाढाला"
"bail","జామీను","जमानत*"
"bait","ఎరబెట్టు","चारा"
"bake","రొట్టెలు కాల్చు","रोटीसेंकना"
"baker","రొట్టెలు కాల్చువాడు","बेकर"
"bakery","రొట్టెలు చేయు చోటు","बेकरी*"
"balance","సమతుల్యం","संतुलन"
"balanced","సంతులిత","संतुलित"
"bald","బోడి","गंजा"
"ball","బంతి","गेंद*"
"balloon","బూర","गुब्बारा"
"ballot","ఓట్లు వేయు","मतदानकरना"
"balm","పూత మందు","मलहम"
"bamboo","వెదురు","बांस"
"ban","నిషేధించు","प्रतिबंध लगाना"
"banana","అరటి పండు","केला"
"band","పట్టీ","बैंड"
"bandage","కట్టు","पट्टी*"
"bang","బాదు","धमाका"
"bangle","గాజు","चूड़ी*"
"banish","బహిష్కరించు","निर्वासितकरना"
"bank","బ్యాంకు","बैंक"
"banker","బ్యాంకు అధికారి","बैंकर"
"banking","బ్యాంకింగ్","बैंकिंग"
"bankrupt","దివాలా తీయు","दिवालानिकलना"
"banner","ప్రదర్శన గుడ్డ","बैनर"
"bar","న్యాయవాదులసంఘం","बार, न्यायवादि यें का संघ"
"barber","క్షురకుడు","नाई"
"bare naked","దిగంబరమైన","नग्न"
"barefoot","చెప్పులు లేని కాళ్ళు","नंगेपाँव"
"barely","కేవలం","मुश्किलसे"
"bargain","బేరం","सौदा"
"bark","మొరుగు","भौंकना"
"barn","గాదె","गोठार"
"barrel","పీపా","पीपा"
"barrier","అవరోధం","अवरोध"
"based","ఆధార పడిన","आधारित"
"baseless","నిరాధారమైన","निराधार"
"basement","పునాది","नींव*"
"basic","మూల, మౌలిక","बुनियादी"
"basically","మౌలికంగా","मूलरूपसे"
"basil","తులసి","तुलसी*"
"basin","పరీవాహక ప్రాంతం","बेसिन"
"basket","బుట్ట","टोकरी*"
"bat","గబ్బిలం, ఆట కర్ర","चनगीदड़"
"bath","స్నానం","स्नान"
"bathroom","స్నానాల గది","स्नानघर"
"battery","బ్యాటరీ","बैटरी*"
"battle ground","యుద్ధ రంగం","युद्दक्षेत्र"
"battle war","యుద్ధం","लड़ाई*युद्ध"
"battlefield","యుద్దభూమి","रणभूमि*"
"battleship","యుద్ధనౌక","युद्धपोत"
"Be, will","ఉంటుంది","होना"
"bead","పూస","मनका"
"beading","పూసలు కూర్చటం","मनकेडालना"
"beak","పక్షిముక్కు","चोंच*"
"beam","కిరణం","किरण*"
"bean","చిక్కుడుకాయ","सेम"
"bear","భరించు","सहन करना"
"bearable","భరించదగిన","सहनेयोग्य"
"beard","గడ్డం","दाढ़ी*"
"bearer","వాహకుడు","वाहक"
"beast","వన్యమృగం","जंगलीजानवर"
"because","ఎందుకంటే","क्योंकि"
"bed","పడక పరుపు","बिस्तर"
"bedding","పరుపు","बिस्तर"
"bedroom","పడక గది","शयनकक्ष"
"bedspread","దుప్పటి","पलंगपोश"
"bedtime","నిద్రవేళ","सोनेकासमय"
"Beef, steak","పశు మాంసం","गोमांस"
"beer","బీరు మద్యం","बियर"
"bees wax","తేనె మైనం","मधुमोम"
"beetroot","బీటు దుంప","चुकंदर"
"before","ముందు","पहले"
"beg","వేడుకొను","विनती*करना"
"beggar","బిచ్చగాడు","भिखारी"
"begin, commence","ప్రారంభించు","शुरू करना"
"beginner","ప్రారంభస్ధాయి వ్యక్తి","नौसिखिया*"
"beginning","ప్రారంభం","शुरुआत*"
"behalf","తరపున","कीओरसे"
"behave","ప్రవర్తించు","व्यवहार करना"
"behind","వెనక","पीछे"
"behold","తెలుసుకొను","दृष्टि*द्वाराजानना"
"being","ఉనికి","अस्तित्व"
"belch","తేపు, తేనుపు","डकार लेना*"
"belief","నమ్మకం","विश्वास"
"believe","నమ్ము","मानना"
"believer","నమ్మినవాడు, విశ్వాసి","विश्वासी"
"bell","గంట","घंटी*"
"belligerent nation","యుద్ధంకోరు దేశం","युद्धाकांक्षीदेश"
"belly","పొట్ట","पेट"
"belonging","చెందిన","संबंधित"
"below","క్రింద","नीचे"
"belt","నడి కట్టు","कटीबंध"
"bench","బల్ల","बेंच*"
"bend","వంగు","मुड़ना"
"beneficiary","లబ్ధిదారు","लाभार्थी"
"benefit","లాభం","लाभ"
"berth","పదవి","पद"
"beside","పక్కన","बगल*में"
"besides","ఇదికాకుండా","इसकेअतिरिक्त"
"best","ఉత్తమ","सबसेअच्छा"
"bestow","ఇచ్చు","प्रदानकरना"
"bet","పందెం","शर्त*"
"betel leaf","తమలపాకు","पान"
"betel nut","వక్క","सुपारी*"
"betrothed","నిశ్చితార్థం జరిగిన","मंगेतर"
"better, superior","బాగామెరుగైన","बेहतर"
"betterment","వాసిపెంచటం","समुन्नति*"
"betting","పందెములు కట్టడం","बाजी*लगाना"
"beware","జాగ్రత్తపడు","सचेतरहना"
"beyond","మించి","परे"
"bias partiality","పక్షపాతం","पक्षपात"
"bible","బైబిలు పరిశుద్ధ గ్రంధం","बाइबिल*"
"bicameral","ద్విసభా","द्विसदनी"
"bickering","కలహం","कलह"
"bicycle","సైకిల్","साइकिल*"
"bid","పేలం పాటపాడు","बोली*लगाना"
"bidder","పందెం కాసినవాడు","बोलीदाता"
"big","పెద్ద","बड़ा"
"Big, large","పెద్ద","बड़ा"
"bike","ద్విచక్ర వాహనం","दुपहिया"
"bile","పైత్యరసం","पित्त"
"bill","బిల్లు","बिल"
